id,title,release_date,overview,popularity,vote_average,vote_count,video
389,12 Angry Men,10-04-1957,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",24.24,8.5,6042,FALSE
497,The Green Mile,10-12-1999,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",50.785,8.5,13200,FALSE
441130,Wolfwalkers,26-10-2020,"In a time of superstition and magic, when wolves are seen as demonic and nature an evil to be tamed, a young apprentice hunter comes to Ireland with her father to wipe out the last pack. But when she saves a wild native girl, their friendship leads her to discover the world of the Wolfwalkers and transform her into the very thing her father is tasked to destroy.",17.157,8.5,648,FALSE
680,Pulp Fiction,10-09-1994,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",58.057,8.5,22302,FALSE
155,The Dark Knight,14-07-2008,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",76.18,8.5,26452,FALSE
122,The Lord of the Rings: The Return of the King,01-12-2003,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.",137.875,8.5,18760,FALSE
13,Forrest Gump,06-07-1994,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",49.031,8.5,21823,FALSE
429,"The Good, the Bad and the Ugly",23-12-1966,"While the Civil War rages between the Union and the Confederacy, three men – a quiet loner, a ruthless hit man and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",31.101,8.5,6317,FALSE
634649,Spider-Man: No Way Home,15-12-2021,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",14136.69,8.5,2654,FALSE
40096,A Dog's Will,15-09-2000,"The lively Jack the Cricket and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.",7.706,8.5,834,FALSE
11216,Cinema Paradiso,17-11-1988,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",14.411,8.5,3161,FALSE
644479,Dedicated to my ex,01-11-2019,"The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities.",19.555,8.5,444,FALSE
572154,Rascal Does Not Dream of a Dreaming Girl,15-06-2019,"In Fujisawa, Sakuta Azusagawa is in his second year of high school. Blissful days with his girlfriend and upperclassman, Mai Sakurajima, are interrupted by the appearance of his first crush, Shoko Makinohara.",220.826,8.5,336,FALSE
346,Seven Samurai,26-04-1954,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",21.76,8.5,2483,FALSE
769,GoodFellas,12-09-1990,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",29.322,8.5,9617,FALSE
637,Life Is Beautiful,20-12-1997,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,47.827,8.5,10675,FALSE
311,Once Upon a Time in America,23-05-1984,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",24.014,8.4,3907,FALSE
592350,My Hero Academia: Heroes Rising,20-12-2019,"Class 1-A visits Nabu Island where they finally get to do some real hero work. The place is so peaceful that it's more like a vacation … until they're attacked by a villain with an unfathomable Quirk! His power is eerily familiar, and it looks like Shigaraki had a hand in the plan. But with All Might retired and citizens' lives on the line, there's no time for questions. Deku and his friends are the next generation of heroes, and they're the island's only hope.",424.471,8.4,841,FALSE
556574,Hamilton,03-07-2020,"Presenting the tale of American founding father Alexander Hamilton, this filmed version of the original Broadway smash hit is the story of America then, told by America now.",11.874,8.4,868,FALSE
92321,Hotarubi no Mori e,17-09-2011,"One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...",0.6,8.4,682,FALSE
378064,A Silent Voice: The Movie,17-09-2016,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",148.187,8.4,2702,FALSE
539,Psycho,22-06-1960,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",27.75,8.4,7822,FALSE
510,One Flew Over the Cuckoo's Nest,18-11-1975,"While serving time for insanity at a state mental hospital, implacable rabble-rouser, Randle Patrick McMurphy, inspires his fellow patients to rebel against the authoritarian rule of head nurse, Mildred Ratched.",19.336,8.4,8238,FALSE
550,Fight Club,15-10-1999,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",54.328,8.4,23090,FALSE
526702,Black Beauty,27-11-2020,"Born free in the American West, Black Beauty is a horse rounded up and brought to Birtwick Stables, where she meets spirited teenager Jo Green. The two forge a bond that carries Beauty through the different chapters, challenges and adventures.",12.837,8.4,236,FALSE
12477,Grave of the Fireflies,16-04-1988,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",0.6,8.4,3859,FALSE
575813,Better Days,25-10-2019,"A bullied teenage girl forms an unlikely friendship with a mysterious young man who protects her from her assailants, while she copes with the pressures of her final examinations.",43.111,8.4,205,FALSE
598,City of God,05-02-2002,"Buscapé was raised in a very violent environment. Despite the feeling that all odds were against him, he finds out that life can be seen with other eyes...",27.814,8.4,5503,FALSE
630566,Clouds,09-10-2020,"Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",17.437,8.4,773,FALSE
14537,Harakiri,15-09-1962,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",8.352,8.4,567,FALSE
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,16-10-2020,"Tanjirō Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyōjurō Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",1070.852,8.4,1962,FALSE
324857,Spider-Man: Into the Spider-Verse,06-12-2018,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",845.096,8.4,10472,FALSE
4935,Howl's Moving Castle,19-11-2004,"When Sophie, a shy young woman, is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",68.329,8.4,6902,FALSE
18491,Neon Genesis Evangelion: The End of Evangelion,19-07-1997,"The second of two theatrically released follow-ups to the Neon Genesis Evangelion series. Comprising of two alternate episodes which were first intended to take the place of episodes 25 and 26, this finale answers many of the questions surrounding the series, while also opening up some new possibilities.",28.952,8.4,969,FALSE
618344,Justice League Dark: Apokolips War,05-05-2020,"Earth is decimated after intergalactic tyrant Darkseid has devastated the Justice League in a poorly executed war by the DC Super Heroes. Now the remaining bastions of good – the Justice League, Teen Titans, Suicide Squad and assorted others – must regroup, strategize and take the war to Darkseid in order to save the planet and its surviving inhabitants.",53.741,8.4,1107,FALSE
447362,Life in a Year,27-11-2020,"A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.",109.472,8.4,909,FALSE
640344,Me contro Te: Il film - La vendetta del Signor S,17-01-2020,"A new adventure for Luì and Sofi (Me contro Te), once again against the evil Mr. S, this time at the cinema. Mr. S is plotting revenge and working on a plan to become the master of the world. They will be called to stop him, giving their little fans and all families fun and lots of surprises.",4.699,8.4,426,FALSE
599,Sunset Boulevard,10-08-1950,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,12.172,8.4,1847,FALSE
1891,The Empire Strikes Back,20-05-1980,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",26.964,8.4,13657,FALSE
537061,Steven Universe: The Movie,02-09-2019,"Two years after bringing peace to the galaxy, Steven Universe sees his past come back to haunt him in the form of a deranged Gem who wants to destroy the Earth.",46.042,8.4,621,FALSE
522924,The Art of Racing in the Rain,08-08-2019,"A family dog - with a near-human soul and a philosopher's mind - evaluates his life through the lessons learned by his human owner, a race-car driver.",27.293,8.4,941,FALSE
244786,Whiplash,10-10-2014,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",64.589,8.4,11686,FALSE
423,The Pianist,17-09-2002,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",34.804,8.4,6865,FALSE
73,American History X,01-07-1998,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",34.982,8.4,9190,FALSE
3782,Ikiru,09-10-1952,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",10.401,8.4,734,FALSE
120,The Lord of the Rings: The Fellowship of the Ring,18-12-2001,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",142.624,8.4,20193,FALSE
476292,Maquia: When the Promised Flower Blooms,24-02-2018,"Maquia is a member of a special race called the Iorph who can live for hundreds of years. However, Maquia has always felt lonely despite being surrounded by her people, as she was orphaned from a young age. She daydreams about the outside world, but dares not travel from her home due to the warnings of the clan's chief.  One day the kingdom of Mezarte invades her homeland. They already have what is left of the giant dragons, the Renato, under their control, and now their king wishes to add the immortality to his bloodline.  They ravage the Iorph homeland and kill most of its inhabitants. Caught in the midst of the attack, Maquia is carried off by one of the Renato. It soon dies, and she is left deserted in a forest, now truly alone save for the cries of a single baby off in the distance. Maquia finds the baby in a destroyed village and decides to raise him as her own, naming him Ariel. Although she knows nothing of the human world, how to raise a child that ages much faster than her.",89.105,8.4,404,FALSE
567,Rear Window,01-09-1954,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,18.778,8.4,4856,FALSE
914,The Great Dictator,23-10-1940,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,12.294,8.4,2462,FALSE
791373,Zack Snyder's Justice League,18-03-2021,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",548.122,8.4,7014,FALSE
157336,Interstellar,05-11-2014,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,127.369,8.4,27360,FALSE
121,The Lord of the Rings: The Two Towers,18-12-2002,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",127.704,8.4,17444,FALSE
527641,Five Feet Apart,14-03-2019,"Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.",101.206,8.4,4553,FALSE
27205,Inception,15-07-2010,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",164.581,8.4,30535,FALSE
128,Princess Mononoke,12-07-1997,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",41.691,8.3,5989,FALSE
12493,High and Low,01-03-1963,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,10.037,8.3,518,FALSE
901,City Lights,01-02-1931,"In this sound-era silent film, a tramp falls in love with a beautiful blind flower seller.",11.731,8.3,1535,FALSE
610892,Violet Evergarden: Eternity and the Auto Memory Doll,06-09-2019,"Isabella, the daughter of the noble York family, is enrolled in an all-girls academy to be groomed into a dame worthy of nobility. However, she has given up on her future, seeing the prestigious school as nothing more than a prison from the outside world. Her family notices her struggling in her lessons and decides to hire Violet Evergarden to personally tutor her under the guise of a handmaiden.  At first, Isabella treats Violet coldly. Violet seems to be able to do everything perfectly, leading Isabella to assume that she was born with a silver spoon. After some time, Isabella begins to realize that Violet has had her own struggles and starts to open up to her. Isabella soon reveals that she has lost contact with her beloved younger sister, whom she yearns to see again.  Having experienced the power of words through her past clientele, Violet asks if Isabella wishes to write a letter to Taylor. Will Violet be able to help Isabella convey her feelings to her long-lost sister?",19.971,8.3,218,FALSE
807,Se7en,22-09-1995,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",41.226,8.3,16255,FALSE
25237,Come and See,03-09-1985,"The invasion of a village in Byelorussia by German forces sends young Florya into the forest to join the weary Resistance fighters, against his family's wishes. There he meets a girl, Glasha, who accompanies him back to his village. On returning home, Florya finds his family and fellow peasants massacred. His continued survival amidst the brutal debris of war becomes increasingly nightmarish, a battle between despair and hope.",12.016,8.3,822,FALSE
482321,Ron's Gone Wrong,15-10-2021,"In a world where walking, talking, digitally connected bots have become children's best friends, an 11-year-old finds that his robot buddy doesn't quite work the same as the others do.",1255.167,8.3,511,FALSE
3082,Modern Times,11-02-1936,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,13.042,8.3,2798,FALSE
274,The Silence of the Lambs,01-02-1991,"Clarice Starling is a top student at the FBI's training academy. Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism. Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",9.833,8.3,12709,FALSE
663558,New Gods: Nezha Reborn,06-02-2021,"3000 years after the boy-god Nezha conquers the Dragon King then disappears in mythological times, he returns as an ordinary man to find his own path to becoming a true hero.",115.621,8.3,242,FALSE
207,Dead Poets Society,02-06-1989,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",25.973,8.3,8705,FALSE
101,Léon: The Professional,14-09-1994,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",38.022,8.3,11581,FALSE
42269,We All Loved Each Other So Much,21-12-1974,"Three partisans bound by a strong friendship return home after the war, but the clash with everyday reality puts a strain on their bond.",6.761,8.3,385,FALSE
550776,Believe Me: The Abduction of Lisa McVey,30-09-2018,"On the night she plans on taking her own life, 17-year-old 'Lisa McVey' is kidnapped and finds herself fighting to stay alive and manages to be a victim of rape. She manages to talk her attacker into releasing her, but when she returns home, no one believes her story except for one detective, who suspects she was abducted by a serial killer. Based on horrifying true events.",23.733,8.3,271,FALSE
18148,Tokyo Story,03-11-1953,"The elderly Shukishi and his wife, Tomi, take the long journey from their small seaside village to visit their adult children in Tokyo. Their elder son, Koichi, a doctor, and their daughter, Shige, a hairdresser, don't have much time to spend with their aged parents, and so it falls to Noriko, the widow of their younger son who was killed in the war, to keep her in-laws company.",8.104,8.3,709,FALSE
335,Once Upon a Time in the West,21-12-1968,"As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",16.165,8.3,3211,FALSE
755812,"Miraculous World: New York, United HeroeZ",21-11-2020,"During a school field trip, Ladybug and Cat Noir meet the American superheroes, whom they have to save from an akumatised super-villain. They discover that Miraculous exist in the United States too.",369.616,8.3,834,FALSE
16672,Woman in the Dunes,15-02-1964,An entomologist suffers extreme psychological and sexual torture after being taken captive by the residents of a poor seaside village.,9.718,8.3,258,FALSE
975,Paths of Glory,25-10-1957,A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,12.514,8.3,2059,FALSE
313106,Doctor Who: The Day of the Doctor,23-11-2013,"In 2013, something terrible is awakening in London's National Gallery; in 1562, a murderous plot is afoot in Elizabethan England; and somewhere in space an ancient battle reaches its devastating conclusion. All of reality is at stake as the Doctor's own dangerous past comes back to haunt him.",10.964,8.3,627,FALSE
105,Back to the Future,03-07-1985,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",59.084,8.3,15948,FALSE
620683,My Mom is a Character 3,26-12-2019,Dona Hermínia will have to rediscover and reinvent herself because her children are forming new families. This supermom will have to deal with a new life scenario: Marcelina is pregnant and Juliano is getting married.,5.239,8.3,400,FALSE
290098,The Handmaiden,01-06-2016,"1930s Korea, in the period of Japanese occupation, a young woman is hired as a handmaiden to a Japanese heiress who lives a secluded life on a large countryside estate with her domineering uncle, but she's involved in something greater that will soon be revealed.",28.024,8.3,2510,FALSE
504253,I Want to Eat Your Pancreas,01-09-2018,"After his classmate and crush is diagnosed with a pancreatic disease, an average high schooler sets out to make the most of her final days.",103.884,8.3,890,FALSE
265177,Mommy,22-05-2014,"A peculiar neighbor offers hope to a recent widow who is struggling to raise a teenager who is unpredictable and, sometimes, violent.",14.666,8.3,2202,FALSE
10376,The Legend of 1900,28-10-1998,"The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 (Tim Roth) learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship.",11.773,8.3,1743,FALSE
664767,Mortal Kombat Legends: Scorpion's Revenge,12-04-2020,"After the vicious slaughter of his family by stone-cold mercenary Sub-Zero, Hanzo Hasashi is exiled to the torturous Netherrealm. There, in exchange for his servitude to the sinister Quan Chi, he’s given a chance to avenge his family – and is resurrected as Scorpion, a lost soul bent on revenge. Back on Earthrealm, Lord Raiden gathers a team of elite warriors – Shaolin monk Liu Kang, Special Forces officer Sonya Blade and action star Johnny Cage – an unlikely band of heroes with one chance to save humanity. To do this, they must defeat Shang Tsung’s horde of Outworld gladiators and reign over the Mortal Kombat tournament.",51.172,8.3,1051,FALSE
615457,Nobody,18-03-2021,"Hutch Mansell, a suburban dad, overlooked husband, nothing neighbor — a ""nobody."" When two thieves break into his home one night, Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind.",263.715,8.3,3821,FALSE
637920,Miracle in Cell No. 7,10-10-2019,"Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child.",60.534,8.3,3794,FALSE
508965,Klaus,08-11-2019,"When Jesper distinguishes himself as the Postal Academy's worst student, he is sent to Smeerensburg, a small village located on an icy island above the Arctic Circle, where grumpy inhabitants barely exchange words, let alone letters. Jesper is about to give up and abandon his duty as a postman when he meets local teacher Alva and Klaus, a mysterious carpenter who lives alone in a cabin full of handmade toys.",67.665,8.3,2732,FALSE
28,Apocalypse Now,15-08-1979,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",22.198,8.3,6216,FALSE
110420,Wolf Children,21-07-2012,"After her werewolf lover unexpectedly dies in an accident, a woman must find a way to raise the son and daughter that she had with him. However, their inheritance of their father's traits prove to be a challenge for her.",47.275,8.3,1662,FALSE
299534,Avengers: Endgame,24-04-2019,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",580.511,8.3,19874,FALSE
1398,Stalker,25-05-1979,"Near a gray and unnamed city is the Zone, a place guarded by barbed wire and soldiers, and where the normal laws of physics are victim to frequent anomalies. A stalker guides two men into the Zone, specifically to an area in which deep-seated desires are granted.",17.753,8.3,1441,FALSE
